tweet_id,customer_text,generated_reply,grounding,correctness,helpfulness,unsupported_claims
2498501,@117795 actually paid 5.99 for delivery. And order is over an hour late?!,I'm so sorry about this! Let us take a closer look at the account with you here: https://t.co/NZjGCvrxq6,5,4,5,5
2812164,@107921 just bought a 52 RCSS Model Oven from @115850 and got it delivered today. The door’s alignment is out. It hits the side panel while closing and opening. Also the crumb tray is missing. Do it return it to amazon or Morphy will fix it ?,"Apologies for the issues with the product. Since it was delivered today, please contact our support team here: https://t.co/vlvfJrlYEH and we will help you out.",5,5,5,5
314007,@115850 i don't know why Amazon also providing worst service to customer.without my request it's showing delay in delivery. https://t.co/5DxlL0wYSq,We're sorry for the unpleasant experience you've had with the delivery. Please share your details here https://t.co/FudNFZpvst and we'll reach out to you.,5,5,5,5
1786192,@115850 I'm not able to speak to customer care. IVR is on some loop. My order is out on delivery but status says my action is required,"I'm sorry about the trouble you had reaching us and the issue with your delivery status. Please contact our support team here: https://t.co/HQhpS2qeEd via chat, email, or call, and we will help you with the delivery of your order.",4,5,5,5
2262306,"@AmazonHelp Ok, no worries, I will speak to UPS on Monday. I may request a return, I'm tired of playing their games. So far I've called them 7 times, on 5 separate days and been told the package would be delivered Monday, Wednesday, Friday and Saturday.","If they aren't able to provide any solutions, we might be able to find alternative options. Feel free to contact us here: https://t.co/EKXRLsnxJu",4,4,5,5
2805121,@115821 Really disappointed in your delivery driver’s failure to even knock on the door before claiming they attempted delivery and driving off. Not cool at all. This sets me back a full day. Please get it together!,"I'm very sorry for any inconveniences. I'd like for a specialist to investigate this for you. Whenever you have the time, please tell us more here: https://t.co/B2Y2Gb9mbI We'd be happy to help in any way possible.",3,4,5,5
1195817,@115850  mujhe mera packege abhi mila nahi hai aur delivery bhi ho gayi kisko de diya ye mere rs. Bhi gaye kal call laga raha lagi nahi https://t.co/aBE25oEZnf,"Sorry about this experience. Please share your details here: https://t.co/GIJyeY99fq and I'll get in touch with you. Please note that our page is public, so please do not share sensitive personal information.",4,5,5,5
881080,Dear @115821 I couldn't be a happier! I was told my 📦 wouldn't be delivered on time. I received an email it was delivered! #godblessyall 🙌🏼,We're so glad to hear your package arrived on time! Thanks for reaching out and sharing the great news.,5,5,5,5
1298456,@AmazonHelp My package says it was delivered Monday but I never received it.,I'm sorry to hear this! Have you had a chance to report this to our Customer Support team: https://t.co/hApLpMlfHN?,5,5,5,5
462464,@AmazonHelp @118919 your team confirmed that return in transit..i can not wait more days amazon..please refund my money https://t.co/TNSk5giv8c,I'm sorry for the trouble you are facing with the refund of your order. Please share your details here: https://t.co/GIJyeY99fq and we'll take necessary actions to make things right for you.,5,5,5,5
1369543,@AmazonHelp Last told the refund was processing and I still have no confirmation of that.,How long ago was the refund processed? Confirmation emails are sent when the refund has finished processing through our system.,5,5,5,4
440119,@AmazonHelp some technical difficulties resulted my headphone to return second time and now the I cant get the discount back. WOW😡,We apologize for the unpleasant experience. Please contact our support team here: https://t.co/sazi8KruIu and we'll help you.,5,5,4,4
1445344,@115850 worst customer service experience till date. Been more than a month and refund is yet to show! I'm tired of mailin u over and over,"I'm sorry to know you haven't received your refund. Kindly fill your details here: https://t.co/GIJyeYqKE0, and I'll look into it.",5,4,5,5
1075377,@115850 the package has been already picked up by your assigned courier 3days back.When I'll get the refund?,"I understand your concern. The product may take 5-7 days to return to our center, and your refund will be issued once the item reaches our fulfillment center. We request you to wait.",5,5,4,5
2829439,@115850 my Order  # 403-4091452-1595547 not delivered but Amazon website show status as delivered on Saturday.pls refund my money as soon as possible.,"I'm sorry that your order hasn't arrived. Please connect with our support team here: https://t.co/R3EfhzgU8B and we'll sort it out for you. Also, please avoid sharing your order details publicly as this page is visible to everyone.",4,4,5,4
21936,@AmazonHelp Something for which I received mail stating out for delivery today is now returned and refund is issued.  It's all in a mess.,I'm sorry about this experience. I will have this feedback forwarded to the concerned team internally.,5,4,5,5
1547231,dude @117795 wtf?? i want my money back!!! https://t.co/jscA6m7M5X,I'm really sorry. You can see your available return options here: https://t.co/okjbGYSSMn,5,3,5,4
1608388,@AmazonHelp I have filled all details and i need to be refunded by tomorrow or i will see you in consumer court with all evidence of #fraud #amazonFraud,"I understand your concern and frustration regarding your refund. Twitter being a social media platform, we do not have direct access to your account. Please reach out to our support team through the link so that they can assist you further: https://t.co/9VuaQSeA7d",4,5,4,5
389928,@AmazonHelp @122232 are a disgrace! 3 orders to a BFPO address.....all 3 returned! Why do you use these jokers. #Sackthem,I'm sorry about the trouble. We'd like to look into the delivery issues here: https://t.co/JzP7hlA23B,5,5,5,5
2171890,@117795 Multiple order placed. Courier did not receive. 48Hr delay. Request refund. Refunded 1 of 5 of the items! Why is it so hard!,I'm sorry to hear about the trouble with your refund for this order. Please use this link to get in touch and we'll investigate this for you: https://t.co/JzP7hlA23B,5,5,5,5
846938,@115821 @AmazonHelp why am I unable to do something as simple as exchange a pair of shoes? Can't return and reorder at same price either 😔,Unfortunately not every item is eligible for exchange. You can check your available options here: https://t.co/2NkKdvBHoI,5,5,5,5
1387100,"@AmazonHelp I have and was told I would be refunded. Still waiting on the confirmation email to say refund is being processed. But honestly, I'm afraid to order from Amazon again. What can be done so @118706 stops being so careless?","We apologize for the experience and for any frustration regarding your delivery. Please check your spam or junk folder for the refund confirmation email. If you need further assistance, please share your details here: https://t.co/GIJyeYqKE0 so we can look into this for you.",5,5,5,5
80840,@119356. Cheated by Amazon India.they don't have any refund policy. https://t.co/3bPU6OOgDO,"I'm sorry for the trouble regarding your refund. Kindly fill in your details here: https://t.co/beaaDm0muc and we'll get in touch shortly. Please do not provide your order details here, as this page is public.",5,5,5,5
152139,"@AmazonHelp Hi, returned a TV to you for a replacement on tuesday, when should I expect to hear back about it?","Hello! Did you receive a confirmation email regarding the replacement? If so, what did it say?",5,5,5,5
920960,@AmazonHelp @115850 this is the worst experience from Amazon.Item returned without any delivery attempt. (1/2),Apologies for the miss. Did you happen to escalate this to our support team here: https://t.co/T6y6Xlutbs?,5,5,5,5
1638666,@115821 I HAVE BEEN RIPPED OFF AND LYED TOO ABOUT MY DMA REFUND NO THEY ARE SAYING ITS IN THE MAIL A UPDATED BULL CRIP I WILL NEVER ORDER AG,I'm sorry you're still waiting on a refund. We can check for you over phone or chat: https://t.co/JzP7hlA23B,5,5,5,5
147350,"@115830 -very poor customer service, promised refund 2 weeks ago for a scam on my account and no joy","We are sorry to know you haven't received your refund yet. Kindly fill your details here: https://t.co/GIJyeYqKE0, and we will look into it.",5,5,5,5
2952234,trying to get a refund from @115821 for a parcel that they lost is like getting blood out of a stone 😡,I'm sorry for the frustration this situation has caused! We would like to take a closer look into this. Please share your details with us here: https://t.co/GIJyeYqKE0.,5,5,5,5
1480791,@AmazonHelp And returned there or to another im not sure at 1:10 today. I'm disappointed as I was in all day,"I'm sorry for this experience. What does the tracking advise now? Does it show as delivery attempted, and do you know which carrier it's with?",5,5,5,4
1607921,@115850 Hey unable to reach your cc.  I wanna edit the billing address. Could you help?,"Sorry for the hassle. You can request a call back from our support team using the link here: https://t.co/vlvfJr4nN9. Once there, login or select Skip Sign in > select issue codes > choose from chat / phone / email options. If selecting the phone option, select your preferred language, provide your number, and choose from 'call now' or 'call me in 5 minutes'.",4,5,4,5
2454141,@115821 you guys shipped and charged a cancelled item to me and I would like a refund. idk how to inform you so im just going to tweet @ you 🤷‍♂️,"I'm sorry to hear about the charge for the cancelled item. If you would like to return this item, you can do so here: https://t.co/EgUVYKwqcs",4,5,5,4
1429497,Anyone else charged for @115830 PRIME even after cancelling subscription &amp; @115821 can’t just cancel it?,I am sorry to hear about this. You can cancel and manage your subscription here: https://t.co/a4Yc9lKczA,4,5,5,5
2985339,@AmazonHelp Sbi debit card Cashback for shopping done in october month,Apologies for the delay in receiving your cashback. Please reach out to us via https://t.co/vArWKEUFdu so we can check this for you.,5,5,4,5
67456,@AmazonHelp No but I remember going through&amp;cancelling as I done it weeks prior to being charged! I don’t have access to my previous amazon email...(1),"When you cancel your Prime subscription, an email is sent to confirm, so it may be the case that the membership was not successfully cancelled. You can view all correspondence through the message center on your Amazon account here: https://t.co/MBY7OGCvpQ.",5,5,5,5
2283994,@115850 I recently ordered Moto 5s plus. Mistakenly I throw out the package. How to get Invoice of this order? I didn't find any option in Amazon app,This shouldn't be a problem. You can print the invoice from your Amazon account by visiting: https://t.co/NF6pcuReG9 (please note that you will need to do this from a computer).,5,5,5,5
1031073,403-8415773-6460323 emi charged on cancelled order ! No refund processed to bank ! Fraud by amazon #AmazonIndia #Amazon,"Please avoid sharing your order details publicly, as this is personal information. We would like to investigate this further; please share your details securely here: https://t.co/cQVomR1pWz so we can assist you.",5,5,5,5
2897566,@AmazonHelp Right now I’m being charged over $7 for these rulers... https://t.co/BeriSc7tZ2,"I'm sorry for the frustration! We'd like to take a closer look into the problem, please contact us here: https://t.co/hApLpMlfHN",5,5,5,5
1266402,@115850 why is your mobile app saving the credit card data automatically.There shld be an option to proceed without saving card details.,Payment details are saved to provide a faster and safer checkout experience when placing an order. You can edit your payment options here: https://t.co/tlo3JgEEq1,5,5,5,5
1478817,"@AmazonHelp Pris en charge oui, traité bof, traité bof bof par contre pour se faire envoyer chier à 21h30 parce que la limite c'est 22 oui","Navrée pour cette mauvaise expérience, je ne manquerai pas de remonter l'information.",5,5,5,5
2466081,"@117795 i accidentally signed up for showtime just now,how do I cancel this w/o being charged??",You can cancel Amazon Channel Subscriptions using the information on this Help page: https://t.co/T52X9q77tI,5,5,5,5
2692713,@115850 @145910 @12381 @36491 @164163 Shouldn't all invoices be #GST Invoices? So why do you ask to check products for GST #Invoice? What happens if a product doesn't have a GST Invoice. Does the customer not pay GST? https://t.co/shd0NuApMb https://t.co/c76n6pubwn,"We currently include only the seller's GST number on the invoice. If you are a business and purchasing business supplies, we recommend registering your business on our program here: https://t.co/UpPJYPxkCY",5,5,5,5
570826,"@AmazonHelp I have a working debit card, but Amazon keeps denying it. I update payment, and nothing changes. What should I do???","I'm sorry you're having trouble getting your payment method processed! This could be due to a number of things, including incomplete or incorrect billing information. You can find some tips here: https://t.co/msqjRVMiyH",5,5,5,5
166487,@AmazonHelp Used Amazon chat to resolve what appeared to be a duplicate charge on two different credit cards for my Prime membership. Just wanted a refund or explanation. Result? Had my Prime membership cancelled. WTH? Why?,"I'm sorry for the unexpected charges and the cancellation of your membership. We'd like to look into this with you. When you have time, please reach us via phone or chat here: https://t.co/oGDklGgbCZ",5,5,5,5
232686,"@AmazonHelp bought a power bank few months ago, used twice and now it won’t charge. Seen loads of other reviews same problem, what do I do?",Sorry to know that the product isn't functioning. Kindly contact the manufacturer to avail the warranty. You can also view our returns policy here: https://t.co/gYYDFKUNPY,5,5,5,5
676148,@AmazonHelp @122232 driver has basically made a mess of it. Anyway I can claim back delivery charge was meant to be express 1pm today and driver hasn’t left at safe place or with a neighbour. Instead has just drove off with the parcel.,I'm so sorry to hear about this delivery issue. We can look into the available options with you here: https://t.co/JzP7hlA23B.,5,5,5,5
2299734,@115821 how does one get charged for a prime subscription if their card isn’t even linked to the account??,"I'm sorry for the unexpected charge. In order to start a trial or subscription for Amazon Prime, a payment method would have needed to be selected at the time of sign up. To review options for your Prime membership, please go here: https://t.co/TPlUWyVUrV",5,5,5,5
176497,@AmazonHelp Comme expliqué précédemment le vendeur s'était engagé à prendre en charge les frais de retour. L'adresse de retour était en France. Je ne comprends pas pourquoi vous insistez. C'est pourtant simple: le vendeur n'a pas respecté son engagement.,"Afin que notre service client puisse faire des recherches à ce sujet, je vous invite à les contacter via ce lien : https://t.co/hgIrz98cdI",5,5,5,5
2866119,"@AmazonHelp Hey! So I was being charged for Prime on https://t.co/LMZE49jNVq and Amazon.ca simultaneously. Turns out I paid for multiple months on both, how do I get refunded for those months?","We would love to help! For the Prime membership on Amazon.com, you may reach us here: https://t.co/65ZCirZXzo. For the Prime membership on Amazon.ca, you may reach us here: https://t.co/xrW55e2Usg so we can look into your concern further.",5,5,5,4
80621,"@AmazonHelp Please start with what I entered at https://t.co/vGP02JEJpy this morning, per your request last night. ""I've extended your extended"" was your response to that, without addressing whether or not I would be charged for not returning the items that I did not receive, etc.","I'm sorry to see that you have been having these issues regarding your return and charges. So we can look into this for you, please reach out to us here: https://t.co/pm5YbpPpA3",4,5,4,4
